id,age,language,rt_word,rt_nonword,acc_word,acc_nonword
S001,22,1,379.45846200996505,516.8176449487005,99,90
S002,33,1,312.45127392371336,435.0403656304823,94,82
S003,23,1,404.9406960846568,458.5021650386537,96,87
S004,28,1,298.37343058053796,335.89332144104446,92,76
S005,26,1,316.4249524187694,401.3214278256035,91,83
S006,29,1,357.1709980102118,367.33551554749545,96,78
S007,20,1,372.91374094696545,434.70552077825744,95,86
S008,30,1,326.9963272327223,424.7618411337873,91,80
S009,26,1,305.84239200191354,454.6145856225248,94,86
S010,22,1,317.3134403069539,414.41091674831273,94,88
S011,48,1,449.6310512144129,494.5900112817578,95,83
S012,21,1,324.664682178122,396.75908365296544,95,84
S013,31,1,330.55151691869037,466.47628079904763,92,82
S014,26,1,355.51413627439524,511.6196264059208,98,89
S015,25,1,408.760474689881,487.3766835808595,97,84
S016,24,1,265.90435989146005,373.2863444605009,89,83
S017,49,1,411.65403144489534,436.6085732493093,95,87
S018,23,1,393.3933810129276,494.6254141057834,94,84
S019,36,1,301.5984980670312,521.4523306806847,95,83
S020,23,1,372.80178991096074,508.8879987345656,96,88
S021,25,1,310.73518699533656,327.29746890975906,92,79
S022,35,1,334.60464590376085,471.59401884951825,96,80
S023,24,1,356.2256347037375,488.7731432231028,97,87
S024,31,1,421.9907816207647,428.95514535082106,99,84
S025,26,1,344.03595523747686,501.9066708895739,93,86
S026,19,1,332.56209338493926,418.260219620443,95,85
S027,30,1,361.39466410688686,388.8271034324686,96,81
S028,42,1,352.1526765330083,411.6459942128562,94,84
S029,35,1,368.5694795634687,457.54723953018004,95,86
S030,24,1,361.47947495103006,415.3485013602612,95,86
S031,21,1,315.9987596535727,461.4133458869481,94,88
S032,19,1,329.28415953389043,380.7887029049639,96,88
S033,24,1,317.49190998107025,356.13466192849364,91,79
S034,19,1,336.3334525263739,422.6829634066158,95,87
S035,41,1,353.7729005918889,509.4865616235598,95,90
S036,25,1,374.77907924502114,455.0422055450651,96,86
S037,30,1,372.03090163107925,432.45362389425514,93,81
S038,37,1,350.43348244458923,486.7265990191216,93,86
S039,20,1,351.0863218971808,480.4577569049639,93,82
S040,28,1,381.3348878729425,441.9900387099635,94,85
S041,29,1,400.9931504741523,464.0155034923777,97,86
S042,29,1,387.34356389931014,422.9989071197543,95,81
S043,28,1,361.31106629124326,444.76270962019515,93,81
S044,27,1,320.5437643187403,430.1967250398546,95,88
S045,37,1,421.4205008260719,410.392784037928,98,84
S046,24,1,385.1441209620981,437.9147329612634,97,88
S047,19,1,364.20241459913154,521.5332606178127,98,92
S048,29,1,453.8601439584988,527.3332578523718,96,93
S049,29,1,349.3882641867496,440.0324677297392,95,82
S050,22,1,346.84060107757506,460.0265832646458,96,86
S051,31,1,359.2906956473367,439.04292555394,93,82
S052,32,1,366.5222115358844,433.31092624244343,92,85
S053,26,1,376.82691887863905,504.66368401352486,97,88
S054,30,1,425.8213155923887,569.0930547604993,97,90
S055,26,1,344.1231094399107,447.27717960792467,99,89
S056,28,2,323.3022904979479,593.1752161694135,94,82
S057,20,2,303.00147878639484,557.7899930583689,92,83
S058,30,2,306.8853264041129,598.3901535995409,93,85
S059,42,2,361.10286924020215,580.4153355545003,97,83
S060,22,2,354.6346158003277,601.6694185230464,95,82
S061,19,2,308.6390201053746,642.546269331466,95,88
S062,33,2,479.6012935454358,706.2317418420502,97,82
S063,25,2,285.637410183121,628.6810165281511,96,83
S064,21,2,318.2437820473334,525.0791505109016,94,88
S065,19,2,256.2833456852842,555.9723645815376,94,86
S066,49,2,359.9618020083005,634.2250933087702,96,85
S067,42,2,305.0575987031597,529.1659569176103,92,84
S068,24,2,379.6834340754025,647.4262864725572,97,87
S069,45,2,412.45378269644834,672.0647148630185,96,91
S070,34,2,338.3923764208803,492.8611235006719,92,81
S071,30,2,421.6404826527856,581.0441886720328,99,90
S072,58,2,355.7949443706359,589.4649233533925,94,83
S073,35,2,397.74928193424205,649.2889663738689,96,88
S074,29,2,296.75996535545636,530.2700958081917,91,80
S075,25,2,283.783770191283,569.7510972837558,93,81
S076,30,2,324.8028710693325,583.1494658390113,94,83
S077,33,2,293.4677193259331,662.9756052247267,94,85
S078,36,2,363.79056920681086,649.4658881671542,97,87
S079,26,2,293.7165190532512,567.1610367853527,95,87
S080,40,2,427.36836769092065,666.4698471303792,99,84
S081,39,2,377.6361370981547,651.8711751035128,95,86
S082,41,2,451.24906743431205,617.4923041230106,100,92
S083,33,2,306.68707577524987,563.0389201051075,95,87
S084,25,2,356.05838508508856,658.6612470937915,96,92
S085,34,2,412.72443561176317,626.4060261605281,97,87
S086,30,2,344.988713895832,633.7883797853772,98,91
S087,27,2,329.09127990492203,635.9450614899516,94,89
S088,22,2,383.4405943864004,582.7703306728151,97,88
S089,27,2,294.6572899111863,555.2141933307192,93,80
S090,27,2,386.68814459314007,644.5688029318833,94,88
S091,38,2,333.9251073002613,570.6841290706176,96,83
S092,30,2,381.4393473335345,579.64194744099,98,83
S093,51,2,415.8978447370081,692.2597163666333,97,90
S094,18,2,327.5815468831922,576.2895821259059,94,84
S095,30,2,353.7837418792621,592.7135814932725,96,83
S096,50,2,331.04092513165665,530.9725628463001,94,77
S097,22,2,370.49685468532124,555.9138127594639,97,83
S098,29,2,331.14877324324345,532.291029851422,93,77
S099,26,2,274.5491472703286,536.6449038626096,92,81
S100,43,2,351.2182140517863,601.3442300130415,95,83
